date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-02-26,sh.601390,5.1200,5.5700,5.1100,5.4600,5.1600,241226986,1302910025.0000,3,1.294400,1,5.814000,0
2020-02-27,sh.601390,5.4400,5.5200,5.3700,5.4100,5.4600,118156273,641070483.0000,3,0.634000,1,-0.915800,0
2020-02-28,sh.601390,5.3400,5.5800,5.3100,5.3700,5.4100,166464792,908213388.0000,3,0.893200,1,-0.739400,0
2020-03-02,sh.601390,5.4300,5.9100,5.4200,5.9100,5.3700,321775040,1868921530.0000,3,1.726500,1,10.055900,0
2020-03-03,sh.601390,6.0800,6.0800,5.7900,5.8600,5.9100,268963120,1585589333.0000,3,1.443200,1,-0.846000,0
2020-03-04,sh.601390,5.8100,6.0500,5.7700,5.9500,5.8600,174590145,1040551581.0000,3,0.936800,1,1.535800,0
2020-03-05,sh.601390,6.0000,6.0500,5.8800,5.9300,5.9500,135321173,805503271.0000,3,0.726100,1,-0.336100,0
2020-03-06,sh.601390,5.8500,5.9300,5.7400,5.7600,5.9300,121179672,702249880.0000,3,0.650200,1,-2.866800,0
2020-03-09,sh.601390,5.6800,5.6900,5.5600,5.5800,5.7600,107436859,602803132.0000,3,0.576500,1,-3.125000,0
2020-03-10,sh.601390,5.5400,5.8500,5.5400,5.7900,5.5800,128926160,735333623.0000,3,0.691800,1,3.763400,0
2020-03-11,sh.601390,5.7700,5.8400,5.6900,5.7000,5.7900,79909918,460141922.0000,3,0.428800,1,-1.554400,0
2020-03-12,sh.601390,5.6600,5.7400,5.5600,5.6800,5.7000,73806250,416588566.0000,3,0.396000,1,-0.350900,0
2020-03-13,sh.601390,5.4300,5.7200,5.3900,5.6000,5.6800,89704250,497511734.0000,3,0.481300,1,-1.408400,0
2020-03-16,sh.601390,5.6200,5.7300,5.5000,5.5200,5.6000,88923825,500083031.0000,3,0.477100,1,-1.428600,0
2020-03-17,sh.601390,5.5800,5.6500,5.3300,5.5200,5.5200,81465131,448450475.0000,3,0.437100,1,0.000000,0
2020-03-18,sh.601390,5.5500,5.6200,5.4100,5.4100,5.5200,67681748,373087574.0000,3,0.363200,1,-1.992800,0
2020-03-19,sh.601390,5.4100,5.4600,5.2300,5.3100,5.4100,77201213,412154762.0000,3,0.414200,1,-1.848400,0
2020-03-20,sh.601390,5.3300,5.3800,5.2800,5.3600,5.3100,61567562,328396017.0000,3,0.330400,1,0.941600,0
2020-03-23,sh.601390,5.2400,5.2600,5.1600,5.2200,5.3600,51626144,269539735.0000,3,0.277000,1,-2.611900,0
2020-03-24,sh.601390,5.2800,5.3500,5.1700,5.2700,5.2200,60083096,315361655.0000,3,0.322400,1,0.957900,0
2020-03-25,sh.601390,5.3400,5.3700,5.2500,5.3000,5.2700,84888305,450418295.0000,3,0.455500,1,0.569300,0
2020-03-26,sh.601390,5.2700,5.2700,5.1400,5.1800,5.3000,74786773,388273012.0000,3,0.401300,1,-2.264200,0
2020-03-27,sh.601390,5.2200,5.4500,5.1800,5.3500,5.1800,164336387,877338318.0000,3,0.881800,1,3.281900,0
2020-03-30,sh.601390,5.3100,5.4400,5.2800,5.4000,5.3500,116805210,628236874.0000,3,0.626700,1,0.934600,0
2020-03-31,sh.601390,5.4900,5.5000,5.3400,5.3800,5.4000,92116477,497658595.0000,3,0.494300,1,-0.370400,0
2020-04-01,sh.601390,5.3800,5.5000,5.3600,5.4000,5.3800,94111885,512355199.0000,3,0.505000,1,0.371700,0
2020-04-02,sh.601390,5.3900,5.5300,5.3800,5.5300,5.4000,78769632,429954090.0000,3,0.422700,1,2.407400,0
2020-04-03,sh.601390,5.5300,5.5600,5.4700,5.5200,5.5300,52643317,290083397.0000,3,0.282500,1,-0.180800,0
2020-04-07,sh.601390,5.5700,5.7700,5.5700,5.7300,5.5200,101675481,576664370.0000,3,0.545600,1,3.804300,0
2020-04-08,sh.601390,5.6900,5.8100,5.6800,5.7500,5.7300,64709518,372412480.0000,3,0.347200,1,0.349000,0
2020-04-09,sh.601390,5.7800,5.8500,5.7400,5.7400,5.7500,52726310,305359092.0000,3,0.282900,1,-0.173900,0
2020-04-10,sh.601390,5.7400,5.7800,5.6200,5.6500,5.7400,45048002,255777165.0000,3,0.241700,1,-1.567900,0
2020-04-13,sh.601390,5.6200,5.7500,5.6200,5.7200,5.6500,45681653,260335572.0000,3,0.245100,1,1.238900,0
2020-04-14,sh.601390,5.7100,5.7500,5.6900,5.7300,5.7200,50526836,289226678.0000,3,0.271100,1,0.174800,0
2020-04-15,sh.601390,5.7600,5.7600,5.6900,5.7400,5.7300,39895604,228427370.0000,3,0.214100,1,0.174500,0
2020-04-16,sh.601390,5.7100,5.7200,5.6200,5.6500,5.7400,40640859,229821397.0000,3,0.218100,1,-1.567900,0
2020-04-17,sh.601390,5.6800,5.9100,5.6700,5.8400,5.6500,122468362,712638359.0000,3,0.657100,1,3.362800,0
2020-04-20,sh.601390,5.9300,5.9900,5.8300,5.9300,5.8400,97229712,574682202.0000,3,0.521700,1,1.541100,0
2020-04-21,sh.601390,5.8900,5.9200,5.8100,5.8900,5.9300,59370774,348009919.0000,3,0.318600,1,-0.674500,0
2020-04-22,sh.601390,5.8400,5.8700,5.7700,5.8700,5.8900,48245258,280340356.0000,3,0.258900,1,-0.339600,0
2020-04-23,sh.601390,5.8700,5.9000,5.7800,5.8000,5.8700,33108092,192733623.0000,3,0.177600,1,-1.192500,0
2020-04-24,sh.601390,5.7500,5.7900,5.7100,5.7600,5.8000,35464240,204417292.0000,3,0.190300,1,-0.689700,0
2020-04-27,sh.601390,5.7500,5.8800,5.7500,5.8300,5.7600,45267040,264448723.0000,3,0.242900,1,1.215300,0
2020-04-28,sh.601390,5.8500,5.8500,5.6400,5.7100,5.8300,40813541,233538230.0000,3,0.219000,1,-2.058300,0
2020-04-29,sh.601390,5.7100,5.7400,5.6500,5.6800,5.7100,33068716,188141665.0000,3,0.177400,1,-0.525400,0
2020-04-30,sh.601390,5.7300,5.8900,5.7300,5.8600,5.6800,55931195,326402960.0000,3,0.300100,1,3.169000,0
2020-05-06,sh.601390,5.8600,5.9900,5.8300,5.8600,5.8600,78534721,462504103.0000,3,0.421400,1,0.000000,0
2020-05-07,sh.601390,5.8100,5.8500,5.7800,5.8000,5.8600,37527917,217698594.0000,3,0.201400,1,-1.023900,0
2020-05-08,sh.601390,5.8100,5.8300,5.7500,5.7800,5.8000,41932549,242518409.0000,3,0.225000,1,-0.344800,0
2020-05-11,sh.601390,5.7700,5.8800,5.7500,5.7700,5.7800,45243617,262469702.0000,3,0.242800,1,-0.173000,0
2020-05-12,sh.601390,5.7700,5.7800,5.6600,5.6700,5.7700,45456481,259146790.0000,3,0.243900,1,-1.733100,0
2020-05-13,sh.601390,5.6500,5.6900,5.6300,5.6800,5.6700,28349442,160407552.0000,3,0.152100,1,0.176400,0
2020-05-14,sh.601390,5.6600,5.6800,5.5600,5.5800,5.6800,30429878,170611299.0000,3,0.163300,1,-1.760600,0
2020-05-15,sh.601390,5.6100,5.6200,5.5500,5.5600,5.5800,25397759,141714039.0000,3,0.136300,1,-0.358400,0
2020-05-18,sh.601390,5.6300,5.6500,5.5800,5.5800,5.5600,28861208,161928604.0000,3,0.154900,1,0.359700,0
2020-05-19,sh.601390,5.6100,5.6900,5.5800,5.6100,5.5800,31629922,178026759.0000,3,0.169700,1,0.537600,0
2020-05-20,sh.601390,5.6200,5.6200,5.5100,5.5300,5.6100,31791953,176088600.0000,3,0.170600,1,-1.426000,0
2020-05-21,sh.601390,5.5500,5.5500,5.4300,5.4500,5.5300,40950352,223821397.0000,3,0.219700,1,-1.446700,0
2020-05-22,sh.601390,5.4500,5.4600,5.3200,5.3200,5.4500,41811630,224287779.0000,3,0.224300,1,-2.385300,0
2020-05-25,sh.601390,5.3200,5.3500,5.2600,5.2700,5.3200,31801225,168605561.0000,3,0.170600,1,-0.939900,0
2020-05-26,sh.601390,5.3100,5.3500,5.2800,5.3100,5.2700,32505173,172748261.0000,3,0.174400,1,0.759000,0
2020-05-27,sh.601390,5.3200,5.3400,5.2600,5.2700,5.3100,24131071,127679006.0000,3,0.129500,1,-0.753300,0
2020-05-28,sh.601390,5.2600,5.3300,5.2500,5.2800,5.2700,21834359,115586598.0000,3,0.117200,1,0.189800,0
2020-05-29,sh.601390,5.2700,5.2900,5.2200,5.2500,5.2800,41693182,218843490.0000,3,0.223700,1,-0.568200,0
2020-06-01,sh.601390,5.2500,5.3300,5.2500,5.3200,5.2500,36669100,194587834.0000,3,0.196800,1,1.333300,0
2020-06-02,sh.601390,5.3200,5.4000,5.3000,5.4000,5.3200,42287043,226591866.0000,3,0.226900,1,1.503800,0
2020-06-03,sh.601390,5.4000,5.4300,5.3300,5.3400,5.4000,36662358,197136766.0000,3,0.196700,1,-1.111100,0
2020-06-04,sh.601390,5.3500,5.3700,5.2800,5.3000,5.3400,31127198,165189324.0000,3,0.167000,1,-0.749100,0
2020-06-05,sh.601390,5.3000,5.3200,5.2700,5.3000,5.3000,22578552,119416813.0000,3,0.121100,1,0.000000,0
2020-06-08,sh.601390,5.3100,5.3400,5.2900,5.3000,5.3000,28572631,151627591.0000,3,0.153300,1,0.000000,0
2020-06-09,sh.601390,5.3100,5.3200,5.2600,5.3000,5.3000,38895352,205628538.0000,3,0.208700,1,0.000000,0
2020-06-10,sh.601390,5.3100,5.3100,5.2200,5.2300,5.3000,45063045,236473493.0000,3,0.241800,1,-1.320800,0
2020-06-11,sh.601390,5.2300,5.2300,5.1200,5.1300,5.2300,85551081,441820784.0000,3,0.459000,1,-1.912000,0
2020-06-12,sh.601390,5.0800,5.1300,5.0300,5.1300,5.1300,105088139,532623742.0000,3,0.563900,1,0.000000,0
2020-06-15,sh.601390,5.0900,5.1100,5.0400,5.0400,5.1300,74056558,374797776.0000,3,0.397400,1,-1.754400,0
2020-06-16,sh.601390,5.0600,5.1200,5.0400,5.1100,5.0400,65017878,330641475.0000,3,0.348900,1,1.388900,0
2020-06-17,sh.601390,5.1200,5.1400,5.0800,5.1000,5.1100,34013974,173677937.0000,3,0.182500,1,-0.195700,0
2020-06-18,sh.601390,5.0800,5.1800,5.0700,5.1400,5.1000,51484063,264434130.0000,3,0.276200,1,0.784300,0
2020-06-19,sh.601390,5.1400,5.1600,5.1100,5.1400,5.1400,41421793,212748994.0000,3,0.222300,1,0.000000,0
2020-06-22,sh.601390,5.1500,5.1600,5.1100,5.1100,5.1400,41140995,211185423.0000,3,0.220800,1,-0.583700,0
2020-06-23,sh.601390,5.1200,5.1200,5.0600,5.0600,5.1100,38881725,197570177.0000,3,0.208600,1,-0.978500,0
2020-06-24,sh.601390,5.0800,5.0900,5.0600,5.0700,5.0600,27958429,141864583.0000,3,0.150000,1,0.197600,0
2020-06-29,sh.601390,5.0600,5.0700,4.9900,5.0000,5.0700,45319599,227672173.0000,3,0.243200,1,-1.380700,0
2020-06-30,sh.601390,5.0300,5.0400,5.0200,5.0200,5.0000,28163278,141635830.0000,3,0.151100,1,0.400000,0
2020-07-01,sh.601390,5.0200,5.1500,5.0200,5.1400,5.0200,66965768,341807803.0000,3,0.359300,1,2.390400,0
2020-07-02,sh.601390,5.1400,5.2500,5.1100,5.2300,5.1400,95680347,497347363.0000,3,0.513400,1,1.751000,0
2020-07-03,sh.601390,5.2500,5.3700,5.2400,5.3100,5.2300,119041444,630731891.0000,3,0.638700,1,1.529600,0
2020-07-06,sh.601390,5.4000,5.7600,5.3900,5.7500,5.3100,227622936,1274510200.0000,3,1.221400,1,8.286300,0
2020-07-07,sh.601390,5.9100,6.0400,5.7300,5.7600,5.7500,224632117,1315070352.0000,3,1.205300,1,0.173900,0
2020-07-08,sh.601390,5.7700,5.9600,5.7700,5.9400,5.7600,187458115,1104358455.0000,3,1.005800,1,3.125000,0
2020-07-09,sh.601390,5.9600,6.0200,5.8500,5.9700,5.9400,167254624,990906936.0000,3,0.897400,1,0.505000,0
2020-07-10,sh.601390,5.9300,5.9800,5.7700,5.7800,5.9700,137819481,807345780.0000,3,0.739500,1,-3.182600,0
2020-07-13,sh.601390,5.7700,5.9300,5.7200,5.8500,5.7800,122608329,715157290.0000,3,0.657900,1,1.211100,0
2020-07-14,sh.601390,5.8500,5.9100,5.7100,5.7900,5.8500,104763442,608106495.0000,3,0.562100,1,-1.025600,0
2020-07-15,sh.601390,5.8000,5.8300,5.6000,5.6100,5.7900,98379483,558657326.0000,3,0.527900,1,-3.108800,0
2020-07-16,sh.601390,5.6200,5.7100,5.5200,5.5400,5.6100,103865584,583589570.0000,3,0.557300,1,-1.247800,0
2020-07-17,sh.601390,5.5500,5.5800,5.5000,5.5400,5.5400,69514356,385582089.0000,3,0.373000,1,0.000000,0
2020-07-20,sh.601390,5.6100,5.7800,5.5700,5.7600,5.5400,86876161,496723076.0000,3,0.466200,1,3.971100,0
2020-07-21,sh.601390,5.8000,5.8700,5.7300,5.7700,5.7600,78427694,453723025.4600,3,0.420800,1,0.173600,0
2020-07-22,sh.601390,5.7800,5.8500,5.7300,5.7400,5.7700,84880634,491634076.3700,3,0.455400,1,-0.519900,0
2020-07-23,sh.601390,5.6900,5.7800,5.5700,5.7600,5.7400,91379648,518934407.4500,3,0.490300,1,0.348400,0
2020-07-24,sh.601390,5.7500,5.8000,5.5600,5.5900,5.7600,68483824,388761402.9700,3,0.367500,1,-2.951400,0
2020-07-27,sh.601390,5.6100,5.6500,5.4900,5.5100,5.5900,46215959,255642567.6300,3,0.248000,1,-1.431100,0
2020-07-28,sh.601390,5.5100,5.5800,5.4900,5.5200,5.5100,41200716,227575585.8600,3,0.221100,1,0.181500,0
2020-07-29,sh.601390,5.5200,5.5800,5.4800,5.5800,5.5200,47379517,262704922.5100,3,0.254200,1,1.087000,0
2020-07-30,sh.601390,5.5700,5.6300,5.5500,5.5500,5.5800,51409945,287028940.8300,3,0.275900,1,-0.537600,0
2020-07-31,sh.601390,5.5600,5.6100,5.5100,5.5700,5.5500,56845233,316199201.2100,3,0.305000,1,0.360400,0
2020-08-03,sh.601390,5.6000,5.6500,5.5700,5.6200,5.5700,70880639,397246151.6200,3,0.380300,1,0.897700,0
2020-08-04,sh.601390,5.6200,5.8200,5.5900,5.7600,5.6200,126616610,722787357.4900,3,0.679400,1,2.491100,0
2020-08-05,sh.601390,5.7300,5.7400,5.6200,5.6500,5.7600,85828763,485867385.5400,3,0.460500,1,-1.909700,0
2020-08-06,sh.601390,5.6700,5.7400,5.6100,5.7100,5.6500,71183035,404055447.4300,3,0.381900,1,1.061900,0
2020-08-07,sh.601390,5.5700,5.5700,5.4400,5.4700,5.5400,54854324,300783608.3700,3,0.294300,1,-1.263500,0
2020-08-10,sh.601390,5.4900,5.7000,5.4700,5.6300,5.4700,131457158,738991438.4300,3,0.705400,1,2.925000,0
2020-08-11,sh.601390,5.6500,5.6500,5.5000,5.5200,5.6300,76077146,425535270.4800,3,0.408200,1,-1.953800,0
2020-08-12,sh.601390,5.5100,5.6000,5.4200,5.5200,5.5200,77683180,427816192.3900,3,0.416800,1,0.000000,0
